읍면동,아파트,세대수,입주년월,Apt_name,number,floor,confirm_date,car,FAR,BC,con,heat,code,lat,long,type_capacity1,area1,room1,toilet1,structure1,n_this_area1,type_capacity2,area2,room2,toilet2,structure2,n_this_area2,type_capacity3,area3,room3,toilet3,structure3,n_this_area3,type_capacity4,area4,room4,toilet4,structure4,n_this_area4,type_capacity5,area5,room5,toilet5,structure5,n_this_area5,type_capacity6,area6,room6,toilet6,structure6,n_this_area6,type_capacity7,area7,room7,toilet7,structure7,n_this_area7,type_capacity8,area8,room8,toilet8,structure8,n_this_area8,type_capacity9,area9,room9,toilet9,structure9,n_this_area9,type_capacity10,area10,room10,toilet10,structure10,n_this_area10
성수동2가,롯데캐슬파크,285,2003.09,성수롯데캐슬파크,604세대(총7개동),16층/25층,2003년 09월 30일,884대(세대당 1.46대),302%,20%,롯데건설(주),"개별난방, 도시가스",8104,37.546082,127.056236,79㎡,79.46㎡/58.49㎡(전용률 74%),3개,1개,계단식,32세대,103㎡,103.93㎡/81.56㎡(전용률 78%),3개,2개,계단식,174세대,109㎡,109.09㎡/84.68㎡(전용률 78%),3개,2개,계단식,17세대,126㎡,126.97㎡/101.99㎡(전용률 80%),4개,2개,계단식,285세대,140㎡,140.33㎡/117.17㎡(전용률 83%),4개,2개,계단식,96세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
응봉동,리버그린동아,162,2003.06,응봉리버그린동아,375세대(총5개동),9층/25층,2003년 06월 07일,417대(세대당 1.11대),295%,19%,동아건설산업(주),"개별난방, 도시가스",7993,37.5535,127.037581,81㎡,81.69㎡/59.98㎡(전용률 73%),3개,2개,계단식,162세대,107C㎡,107.97㎡/84.65㎡(전용률 78%),3개,2개,계단식,46세대,108N㎡,108.21㎡/84.83㎡(전용률 78%),3개,2개,계단식,96세대,141㎡,141.57㎡/114.86㎡(전용률 81%),4개,2개,계단식,71세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하왕십리동,무학현대,148,1993.05,무학현대,277세대(총3개동),15층/15층,1996년 03월 15일,277대(세대당 1대),220%,21%,현대산업개발(주),"개별난방, 도시가스",838,37.561433,127.028062,97A㎡,97.86㎡/84.49㎡(전용률 86%),3개,2개,계단식,148세대,98B㎡,98.44㎡/84.67㎡(전용률 86%),3개,2개,계단식,129세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동1가,벽산,98,2000.09,벽산,1707세대(총20개동),10층/20층,2001년 12월 03일,2371대(세대당 1.38대),219%,16%,벽산건설(주),"개별난방, 도시가스",1286,37.551453,127.027479,78㎡,78.09㎡/59.9㎡(전용률 77%),3개,1개,복도식,98세대,86㎡,86.44㎡/59.9㎡(전용률 69%),3개,1개,복도식,409세대,108A㎡,108.59㎡/84.82㎡(전용률 78%),3개,2개,계단식,604세대,110B㎡,110.58㎡/84.82㎡(전용률 77%),3개,2개,계단식,98세대,141㎡,141.41㎡/114.57㎡(전용률 81%),4개,2개,계단식,498세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동4가,브라운스톤금호,217,2007.03,금호브라운스톤1차,217세대(총5개동),12층/15층,2007년 03월 30일,248대(세대당 1.14대),243%,20%,이수건설,"개별난방, 도시가스",14019,37.546902,127.015418,106㎡,106.45㎡/84.83㎡(전용률 80%),3개,2개,계단식,217세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동4가,브라운스톤금호2차,71,2010.01,브라운스톤금호2차,86세대(총1개동),14층/15층,2010년 01월 20일,104대(세대당 1.2대),-,-,이수건설(주),"개별난방, 도시가스",100204,37.547633,127.015487,109A㎡,109.5㎡/84.98㎡(전용률 78%),3개,2개,계단식,71세대,111B㎡,111.04㎡/84.99㎡(전용률 77%),3개,2개,계단식,15세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행당동,브라운스톤행당,100,2004.03,행당브라운스톤,208세대(총3개동),10층/15층,2005년 09월 01일,224대(세대당 1.07대),219%,20%,이수건설(주),"개별난방, 도시가스",8562,37.558899,127.030053,77㎡,77.44㎡/59.27㎡(전용률 77%),3개,2개,계단식,100세대,103㎡,103.77㎡/84.94㎡(전용률 82%),3개,2개,계단식,78세대,141㎡,141.4㎡/114.76㎡(전용률 81%),4개,2개,계단식,30세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동4가,삼산,62,1978.1,삼산,75세대(총1개동),5층/5층,1975년 12월 23일,40대(세대당 0.53대),-,-,삼산건설,"개별난방, 도시가스",26172,37.54751,127.024587,49A㎡,49.45㎡/49.45㎡(전용률 100%),2개,1개,계단식,62세대,49B㎡,49.49㎡/49.49㎡(전용률 100%),2개,1개,계단식,13세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마장동,삼성,198,1996.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,삼익,30,1985.12,삼익,30세대(총1개동),5층/5층,1976년 02월 23일,40대(세대당 1.33대),-,-,삼익건설,"개별난방, 도시가스",11243,37.535582,127.058088,66㎡,66.71㎡/61.19㎡(전용률 92%),2개,1개,계단식,30세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
