읍면동,아파트,세대수,입주년월,Apt_name,number,floor,confirm_date,car,FAR,BC,con,heat,code,lat,long,type_capacity1,area1,room1,toilet1,structure1,n_this_area1,type_capacity2,area2,room2,toilet2,structure2,n_this_area2,type_capacity3,area3,room3,toilet3,structure3,n_this_area3,type_capacity4,area4,room4,toilet4,structure4,n_this_area4,type_capacity5,area5,room5,toilet5,structure5,n_this_area5,type_capacity6,area6,room6,toilet6,structure6,n_this_area6,type_capacity7,area7,room7,toilet7,structure7,n_this_area7,type_capacity8,area8,room8,toilet8,structure8,n_this_area8,type_capacity9,area9,room9,toilet9,structure9,n_this_area9,type_capacity10,area10,room10,toilet10,structure10,n_this_area10
용답동,YM프라젠,57,2007.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동1가,e편한세상금호파크힐스,268,2019.05,e편한세상금호파크힐스,"1330세대(임대 137세대 포함, 총16개동)",8층/21층,2019년 05월 09일,1547대(세대당 1.16대),253%,21%,㈜대림산업,"개별난방, 도시가스",110936,37.554416,127.022924,85A㎡,85.84㎡/59.94㎡(전용률 70%),3개,2개,계단식,234세대,86B㎡,86.89㎡/59.98㎡(전용률 69%),3개,2개,계단식,268세대,90C㎡,90.26㎡/59.95㎡(전용률 66%),3개,2개,계단식,15세대,110A㎡,110.59㎡/84.93㎡(전용률 77%),3개,2개,계단식,378세대,113B㎡,113.01㎡/84.98㎡(전용률 75%),3개,2개,계단식,124세대,118C㎡,118.68㎡/84.95㎡(전용률 72%),3개,2개,계단식,114세대,151㎡,151.35㎡/116.13㎡(전용률 77%),4개,2개,계단식,40세대,164㎡,164.78㎡/124.62㎡(전용률 76%),4개,3개,계단식,20세대,,,,,,,,,,,,
옥수동,e편한세상옥수파크힐스,299,2016.11,e편한세상옥수파크힐스,"1976세대(임대 340세대 포함, 총25개동)",9층/20층,2016년 11월 09일,2456대(세대당 1.24대),208%,20%,대림산업(주),"개별난방, 도시가스",110938,37.548926,127.014119,82C㎡,82.64㎡/59.91㎡(전용률 72%),3개,2개,계단식,163세대,82D㎡,82.67㎡/59.59㎡(전용률 72%),3개,2개,계단식,82세대,83B㎡,83.28㎡/59.78㎡(전용률 72%),3개,2개,계단식,253세대,83A㎡,83.63㎡/59.88㎡(전용률 72%),3개,2개,계단식,213세대,83E㎡,83.86㎡/59.77㎡(전용률 71%),3개,2개,계단식,80세대,106D㎡,106.22㎡/84.64㎡(전용률 80%),3개,2개,계단식,98세대,107C㎡,107.04㎡/84.51㎡(전용률 79%),3개,2개,계단식,180세대,108T㎡,108.37㎡/76.66㎡(전용률 71%),3개,2개,계단식,12세대,109A1㎡,109.14㎡/84.3㎡(전용률 77%),3개,2개,계단식,299세대,109A2㎡,109.26㎡/84.3㎡(전용률 77%),3개,2개,복도식,66세대
성수동1가,강변건영,281,2002.02,강변건영,580세대(총6개동),8층/25층,2002년 02월 19일,660대(세대당 1.13대),301%,20%,(주)건영,"개별난방, 도시가스",3418,37.540242,127.04488,95㎡,95.56㎡/73.91㎡(전용률 77%),3개,2개,계단식,44세대,109B㎡,109.84㎡/84.95㎡(전용률 77%),3개,2개,계단식,281세대,109A㎡,109.82㎡/84.94㎡(전용률 77%),3개,2개,계단식,255세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,강변임광,58,2000.08,강변임광,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,강변풍림아이원,255,2004.1,옥수강변풍림아이원,269세대(총5개동),15층/15층,2004년 10월 29일,308대(세대당 1.14대),247%,18%,풍림산업(주),"개별난방, 도시가스",8593,37.542377,127.019528,105A㎡,105.86㎡/84.76㎡(전용률 80%),3개,2개,계단식,255세대,105B㎡,105.86㎡/84.76㎡(전용률 80%),3개,2개,계단식,14세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,강변현대,76,1993.09,강변현대,123세대(총2개동),10층/19층,1994년 03월 25일,104대(세대당 0.84대),316%,24%,현대건설(주),"개별난방, 도시가스",550,37.536371,127.050915,97㎡,97.25㎡/84.94㎡(전용률 87%),3개,1개,복도식,20세대,101㎡,101.17㎡/78.96㎡(전용률 78%),3개,1개,복도식,27세대,104㎡,104.81㎡/81.8㎡(전용률 78%),3개,1개,복도식,76세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,갤러리아포레,33,2011.07,갤러리아포레,230세대(총2개동),45층/45층,2011년 07월 29일,1504대(세대당 6.53대),399%,41%,(주)한화건설,"개별난방, 도시가스",27620,37.545722,127.042339,231A㎡,231.99㎡/167.39㎡(전용률 72%),3개,3개,계단식,2세대,232A㎡,232.59㎡/170.98㎡(전용률 74%),4개,3개,계단식,33세대,232B㎡,232.15㎡/167.9㎡(전용률 72%),3개,3개,계단식,2세대,232C㎡,232.48㎡/170.39㎡(전용률 73%),3개,3개,계단식,2세대,232D㎡,232.59㎡/170.88㎡(전용률 73%),3개,3개,계단식,2세대,232E㎡,232.54㎡/171.09㎡(전용률 74%),3개,3개,계단식,2세대,,,,,,,233C㎡,233.33㎡/169.09㎡(전용률 72%),3개,3개,계단식,2세대,266D㎡,266.75㎡/195.2㎡(전용률 73%),3개,3개,계단식,32세대,266A㎡,266.35㎡/194.45㎡(전용률 73%),5개,3개,계단식,2세대
송정동,건영,216,2000.05,송정건영,447세대(총3개동),13층/25층,2000년 05월 10일,449대(세대당 1대),349%,22%,(주)건 영,"개별난방, 도시가스",1178,37.556024,127.070258,86B㎡,86.42㎡/59.21㎡(전용률 69%),2개,1개,복도식,123세대,87A㎡,87.33㎡/59.83㎡(전용률 69%),3개,1개,복도식,76세대,107㎡,107.82㎡/84.94㎡(전용률 79%),3개,2개,복합식,216세대,136㎡,136.49㎡/110.08㎡(전용률 81%),4개,2개,계단식,32세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,극동,210,1986.12,옥수극동,900세대(총8개동),15층/15층,1986년 12월 24일,900대(세대당 1대),219%,17%,극동건설,"중앙난방, 도시가스",562,37.54326,127.0115,80㎡,80.09㎡/57.78㎡(전용률 72%),2개,1개,복도식,150세대,91㎡,91.34㎡/68.58㎡(전용률 75%),2개,1개,복도식,210세대,101㎡,101㎡/84.74㎡(전용률 84%),3개,1개,계단식,180세대,164㎡,164.06㎡/142.26㎡(전용률 87%),5개,2개,계단식,180세대,170㎡,170.42㎡/148.23㎡(전용률 87%),5개,2개,계단식,180세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,극동그린,190,1996.06,극동그린,"583세대(임대 171세대 포함, 총5개동)",13층/19층,1997년 10월 02일,468대(세대당 0.8대),291%,22%,극동건설(주),"중앙난방, 도시가스",563,37.541954,127.009825,83㎡,83.52㎡/59.9㎡(전용률 72%),2개,1개,복도식,76세대,109㎡,109.09㎡/84.92㎡(전용률 78%),3개,2개,계단식,146세대,141㎡,141.82㎡/114.32㎡(전용률 81%),4개,2개,계단식,190세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하왕십리동,극동미라주,136,2001.12,극동미라주,414세대(총3개동),8층/23층,2001년 12월 14일,465대(세대당 1.12대),336%,25%,극동건설,"개별난방, 도시가스",3420,37.558885,127.022922,89㎡,89.79㎡/59.4㎡(전용률 66%),3개,1개,복도식,136세대,95㎡,95.97㎡/72.72㎡(전용률 76%),3개,1개,계단식,9세대,109㎡,109.63㎡/84.33㎡(전용률 77%),3개,2개,계단식,171세대,141A㎡,141.17㎡/114.63㎡(전용률 81%),4개,2개,계단식,81세대,141B㎡,141.17㎡/114.63㎡(전용률 81%),4개,2개,계단식,17세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
옥수동,극동옥정,37,1998.12,극동옥정,72세대(총1개동),10층/13층,1998년 11월 30일,59대(세대당 0.81대),259%,29%,극동건설주식회사,"개별난방, 도시가스",3531,37.540519,127.013849,71㎡,71.85㎡/56.04㎡(전용률 78%),2개,1개,계단식,22세대,76㎡,76.08㎡/59.34㎡(전용률 78%),2개,1개,계단식,13세대,108㎡,108.91㎡/84.93㎡(전용률 78%),3개,2개,계단식,37세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,금강아미움,101,2004.03,서울숲금강아미움,130세대(총2개동),9층/12층,2004년 03월 30일,139대(세대당 1.06대),250%,28%,(주)금강종합건설,"개별난방, 도시가스",11485,37.546587,127.059715,83㎡,83.23㎡/67.34㎡(전용률 81%),3개,2개,계단식,10세대,99A㎡,99.98㎡/80.89㎡(전용률 81%),3개,2개,계단식,101세대,99B㎡,99.96㎡/80.87㎡(전용률 81%),3개,2개,계단식,9세대,100C㎡,100.14㎡/81.02㎡(전용률 81%),3개,2개,계단식,10세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동3가,금호1차푸르지오,142,2005.05,금호1차푸르지오,336세대(총8개동),5층/15층,2005년 05월 31일,363대(세대당 1.08대),192%,18%,(주)대우건설,"개별난방, 도시가스",10316,37.549741,127.020937,78㎡,78.7㎡/59.97㎡(전용률 76%),3개,1개,계단식,142세대,102㎡,102.79㎡/84.92㎡(전용률 83%),3개,2개,계단식,137세대,133B㎡,133.86㎡/114.88㎡(전용률 86%),4개,2개,계단식,14세대,135A㎡,135.33㎡/114.76㎡(전용률 85%),4개,2개,계단식,43세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동4가,금호대우,192,2001.05,금호대우,1181세대(총14개동),15층/24층,2001년 05월 03일,1610대(세대당 1.36대),290%,22%,(주)대우,"개별난방, 도시가스",2975,37.546115,127.020441,79A㎡,79.74㎡/59.97㎡(전용률 75%),3개,1개,계단식,192세대,81C㎡,81.46㎡/59.97㎡(전용률 74%),3개,1개,계단식,116세대,81B㎡,81.46㎡/59.97㎡(전용률 74%),3개,1개,계단식,76세대,109㎡,109.27㎡/84.71㎡(전용률 78%),3개,2개,계단식,308세대,112㎡,112.97㎡/84.96㎡(전용률 75%),3개,2개,계단식,192세대,145A㎡,145.58㎡/114.6㎡(전용률 79%),4개,2개,계단식,110세대,145B㎡,145.72㎡/114.71㎡(전용률 79%),4개,2개,계단식,105세대,145C㎡,145.72㎡/114.71㎡(전용률 79%),4개,2개,계단식,82세대,,,,,,,,,,,,
송정동,금호베스트빌,29,2002.12,금호베스트빌,60세대(총1개동),15층/15층,2002년 12월 30일,89대(세대당 1.48대),299%,23%,금호건설금호산업(주),"개별난방, 도시가스",8105,37.549355,127.057575,87㎡,87.83㎡/67.71㎡(전용률 77%),2개,1개,계단식,1세대,110㎡,110.72㎡/84.97㎡(전용률 77%),3개,2개,계단식,29세대,119㎡,119.79㎡/98.88㎡(전용률 83%),3개,2개,계단식,1세대,143㎡,143.82㎡/118.26㎡(전용률 82%),4개,2개,계단식,29세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동1가,금호베스트빌3차,95,2003.04,성수금호베스트빌3차,159세대(총3개동),13층/17층,2003년 09월 25일,173대(세대당 1.08대),249%,19%,금호산업(주),"개별난방, 도시가스",9481,37.54192,127.0504,76㎡,76.11㎡/59.92㎡(전용률 79%),3개,1개,계단식,32세대,108A㎡,108.59㎡/84.98㎡(전용률 78%),3개,2개,계단식,95세대,108B㎡,108.59㎡/84.98㎡(전용률 78%),3개,2개,계단식,32세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동1가,금호삼성래미안,234,2001.11,금호삼성래미안,582세대(총11개동),13층/15층,2001년 10월 31일,690대(세대당 1.18대),227%,20%,삼성물산,"개별난방, 도시가스",3417,37.549587,127.027322,78㎡,78.46㎡/59.95㎡(전용률 76%),3개,2개,계단식,234세대,105㎡,105.33㎡/84.45㎡(전용률 80%),3개,2개,계단식,232세대,138㎡,138.88㎡/114.67㎡(전용률 83%),4개,2개,계단식,116세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마장동,금호어울림,221,2006.09,금호어울림,367세대(총6개동),18층/24층,2006년 09월 27일,470대(세대당 1.28대),280%,18%,금호산업(주),"개별난방, 도시가스",9124,37.562979,127.040855,80㎡,80.45㎡/59.97㎡(전용률 75%),3개,1개,계단식,37세대,96㎡,96.29㎡/74.46㎡(전용률 77%),3개,2개,계단식,24세대,106B㎡,106.66㎡/83.65㎡(전용률 78%),3개,2개,계단식,1세대,107A㎡,107.68㎡/84.97㎡(전용률 79%),3개,2개,계단식,221세대,123㎡,123.84㎡/101.96㎡(전용률 82%),3개,2개,계단식,1세대,136B㎡,136.35㎡/114.97㎡(전용률 84%),4개,2개,계단식,1세대,137A㎡,137.75㎡/114.97㎡(전용률 83%),4개,2개,계단식,82세대,,,,,,,,,,,,,,,,,,
금호동2가,금호자이1차,130,2012.05,금호자이1차,401세대(총4개동),11층/20층,2012년 05월 18일,461대(세대당 1.14대),239%,23%,지에스건설(주),"개별난방, 도시가스",100340,37.552871,127.022367,83A㎡,83.96㎡/59.99㎡(전용률 71%),3개,2개,계단식,95세대,84B㎡,84.02㎡/59.98㎡(전용률 71%),3개,2개,계단식,45세대,111B㎡,111.6㎡/84.97㎡(전용률 76%),3개,2개,계단식,130세대,111A㎡,111.32㎡/84.98㎡(전용률 76%),3개,2개,계단식,101세대,140㎡,140.01㎡/117.18㎡(전용률 84%),4개,2개,계단식,30세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호동3가,금호자이2차,85,2012.07,금호자이2차,"403세대(기타임대 83세대 포함, 총6개동)",8층/22층,2012년 07월 05일,446대(세대당 1.1대),223%,22%,GS건설(주),"개별난방, 도시가스",100595,37.550534,127.02199,82A㎡,82.82㎡/59.96㎡(전용률 72%),3개,2개,계단식,40세대,82C㎡,82.14㎡/59.99㎡(전용률 73%),3개,2개,계단식,36세대,82D㎡,82.18㎡/59.91㎡(전용률 73%),3개,2개,계단식,26세대,82B㎡,82.96㎡/59.96㎡(전용률 72%),3개,2개,계단식,14세대,107B㎡,107.1㎡/84.73㎡(전용률 79%),3개,2개,계단식,79세대,108A㎡,108.61㎡/84.97㎡(전용률 78%),3개,2개,계단식,85세대,147C㎡,147.38㎡/114.89㎡(전용률 78%),4개,2개,계단식,11세대,148B㎡,148.59㎡/115.93㎡(전용률 78%),4개,2개,계단식,19세대,148A㎡,148.21㎡/115.49㎡(전용률 78%),4개,2개,계단식,10세대,,,,,,
